date,team,opponent,GF,GA,pre_rating_team,pre_rating_opponent,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,qatar,magic_johnson_team,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,magic_johnson_opponent,rating_opponent
2021-07-05,Brazil,Peru,1,0,2155,1845,5,0,2,3,11,2,FALSE,0.856252060098151,2164,4,1,4,1,8,10,0.14374793990185,1836
2021-07-02,Brazil,Chile,1,0,2151,1810,5,0,2,3,12,2,FALSE,0.876852265080797,2158,4,1,4,1,4,5,0.123147734919203,1803
2021-06-27,Brazil,Ecuador,1,1,2169,1781,5,0,1,4,13,1,FALSE,0.903218404295181,2145,3,2,5,0,5,9,0.0967815957048192,1805
2021-06-23,Brazil,Colombia,2,1,2160,1891,5,0,0,5,13,0,FALSE,0.824695313446168,2171,4,1,2,3,7,4,0.175304686553832,1880
2021-06-17,Brazil,Peru,4,0,2147,1800,5,0,0,5,10,0,FALSE,0.880533562247401,2154,2,3,5,0,4,12,0.119466437752599,1793
2021-06-13,Brazil,Venezuela,3,0,2180,1721,5,0,1,4,11,2,FALSE,0.933529628475442,2184,2,3,4,1,3,6,0.0664703715245584,1717
2021-06-04,Brazil,Ecuador,2,0,2173,1874,5,0,1,4,13,2,FALSE,0.848281068712712,2182,4,1,5,0,15,7,0.151718931287288,1865
2022-09-23,Bulgaria,Gibraltar,5,1,1474,1087,4,1,4,1,5,9,FALSE,0.902714034268522,1480,1,4,4,1,1,11,0.0972859657314782,1081
2022-06-05,Bulgaria,Georgia,2,5,1529,1611,4,1,5,0,4,10,FALSE,0.384135895746244,1506,4,1,0,5,8,0,0.615864104253756,1634
2022-06-02,Bulgaria,North Macedonia,1,1,1513,1665,4,1,5,0,5,10,FALSE,0.294218640287998,1525,3,2,3,2,9,7,0.705781359712003,1653
2021-10-12,Bulgaria,Northern Ireland,2,1,1508,1605,4,1,4,1,7,8,FALSE,0.363923100312118,1546,2,3,3,2,5,4,0.636076899687882,1567
2021-09-08,Bulgaria,Georgia,4,1,1535,1508,3,2,4,1,3,6,FALSE,0.538778092057172,1563,2,3,5,0,3,10,0.461221907942829,1480
2021-09-05,Bulgaria,Lithuania,1,0,1524,1281,2,3,4,1,2,6,FALSE,0.801996644114433,1536,2,3,5,0,2,14,0.198003355885567,1269
2021-06-01,Bulgaria,Slovakia,1,1,1505,1667,2,3,3,2,2,7,FALSE,0.282408276808469,1518,3,2,3,2,5,5,0.717591723191531,1654
2021-03-28,Bulgaria,Italy,0,2,1498,2004,3,2,3,2,5,6,FALSE,0.0515258875974668,1495,5,0,1,4,11,1,0.948474112402533,2007
2021-03-25,Bulgaria,Switzerland,1,3,1510,1852,2,3,3,2,4,5,FALSE,0.12252748567058,1503,4,1,5,0,6,9,0.877472514329419,1859
2020-11-15,Bulgaria,Finland,1,2,1506,1732,2,3,4,1,4,7,FALSE,0.214003397717843,1493,5,0,1,4,7,5,0.785996602282158,1745
