year,team,all_matches,all_matches_win,all_matches_lost,all_matches_drawn,all_GF,all_GA,all_Gdiff,all_efectividad,all_fail_GF,all_fail_GA,all_nrm_fail_GF,all_nrm_fail_GA,all_nrm_GF,all_nrm_GA,all_nrm_Gdiff,Away_matches,Away_matches_win,Away_matches_lost,Away_matches_drawn,Away_GF,Away_GA,Away_Gdiff,Away_efectividad,Away_fail_GF,Away_fail_GA,Away_nrm_fail_GF,Away_nrm_fail_GA,Away_nrm_GF,Away_nrm_GA,Away_nrm_Gdiff,Home_matches,Home_matches_win,Home_matches_lost,Home_matches_drawn,Home_GF,Home_GA,Home_Gdiff,Home_efectividad,Home_fail_GF,Home_fail_GA,Home_nrm_fail_GF,Home_nrm_fail_GA,Home_nrm_GF,Home_nrm_GA,Home_nrm_Gdiff,Neutral_matches,Neutral_matches_win,Neutral_matches_lost,Neutral_matches_drawn,Neutral_GF,Neutral_GA,Neutral_Gdiff,Neutral_efectividad,Neutral_fail_GF,Neutral_fail_GA,Neutral_nrm_fail_GF,Neutral_nrm_fail_GA,Neutral_nrm_GF,Neutral_nrm_GA,Neutral_nrm_Gdiff
2012,Canada,6,3,2,1,6,10,-4,0.5,2,2,0.333333333333333,0.333333333333333,1,1.66666666666667,-0.666666666666667,3,1,2,0,2,10,-8,0.333333333333333,1,1,0.333333333333333,0.333333333333333,0.666666666666667,3.33333333333333,-2.66666666666667,3,2,0,1,4,0,4,0.666666666666667,1,1,0.333333333333333,0.333333333333333,1.33333333333333,0,1.33333333333333,,,,,,,,,,,,,,,
2014,Canada,5,1,1,3,5,4,1,0.2,2,2,0.4,0.4,1,0.8,0.2,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,3,1,2,1,0,0,0,0,3,1,2,3,0,1,2,2,3,-1,0,1,1,0.333333333333333,0.333333333333333,0.666666666666667,1,-0.333333333333333
2015,Canada,14,6,2,6,18,6,12,0.428571428571429,4,4,0.285714285714286,0.285714285714286,1.28571428571429,0.428571428571429,0.857142857142857,6,2,1,3,6,2,4,0.333333333333333,3,3,0.5,0.5,1,0.333333333333333,0.666666666666667,7,4,1,2,11,3,8,0.571428571428571,1,1,0.142857142857143,0.142857142857143,1.57142857142857,0.428571428571429,1.14285714285714,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
2016,Canada,10,3,6,1,11,17,-6,0.3,5,5,0.5,0.5,1.1,1.7,-0.6,6,1,5,0,3,12,-9,0.166666666666667,4,4,0.666666666666667,0.666666666666667,0.5,2,-1.5,4,2,1,1,8,5,3,0.5,1,1,0.25,0.25,2,1.25,0.75,,,,,,,,,,,,,,,
2017,Canada,9,4,2,3,15,10,5,0.444444444444444,2,2,0.222222222222222,0.222222222222222,1.66666666666667,1.11111111111111,0.555555555555556,6,2,2,2,11,9,2,0.333333333333333,1,1,0.166666666666667,0.166666666666667,1.83333333333333,1.5,0.333333333333333,3,2,0,1,4,1,3,0.666666666666667,1,1,0.333333333333333,0.333333333333333,1.33333333333333,0.333333333333333,1,,,,,,,,,,,,,,,
2018,Canada,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Canada,4,2,2,0,14,6,8,0.5,0,0,0,0,3.5,1.5,2,2,0,2,0,3,6,-3,0,0,0,0,0,1.5,3,-1.5,2,2,0,0,11,0,11,1,0,0,0,0,5.5,0,5.5,,,,,,,,,,,,,,,
2020,Canada,3,2,1,0,8,3,5,0.666666666666667,1,1,0.333333333333333,0.333333333333333,2.66666666666667,1,1.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Canada,19,13,2,4,55,11,44,0.68421052631579,2,2,0.105263157894737,0.105263157894737,2.89473684210526,0.578947368421053,2.31578947368421,10,5,2,3,28,6,22,0.5,2,2,0.2,0.2,2.8,0.6,2.2,9,8,0,1,27,5,22,0.888888888888889,0,0,0,0,3,0.555555555555556,2.44444444444444,,,,,,,,,,,,,,,
2022,Canada,10,5,4,1,14,7,7,0.5,4,4,0.4,0.4,1.4,0.7,0.7,5,2,2,1,6,4,2,0.4,2,2,0.4,0.4,1.2,0.8,0.4,3,2,1,0,6,2,4,0.666666666666667,1,1,0.333333333333333,0.333333333333333,2,0.666666666666667,1.33333333333333,2,1,1,0,2,1,1,0.5,1,1,0.5,0.5,1,0.5,0.5
