team,quarter,year,rank,total_points,previous_points,index_fifa
Palestine,2017.2,2017,131,236,236,0.14410746997761
Tajikistan,2017.2,2017,132.666666666667,231,231,0.141054345613678
Guyana,2017.2,2017,133.666666666667,225.333333333333,220.333333333333,0.137594138001221
Luxembourg,2017.2,2017,134,229,230,0.139833095868105
Madagascar,2017.2,2017,135.666666666667,220,220,0.134337472013027
Vietnam,2017.2,2017,136,219.666666666667,218.333333333333,0.134133930388765
Sudan,2017.2,2017,138,217,217,0.132505597394667
Burundi,2017.2,2017,138.666666666667,215.333333333333,214.666666666667,0.131487889273356
Comoros,2017.2,2017,141.333333333333,204,205,0.124567474048443
Hong Kong,2017.2,2017,141.333333333333,205,207.666666666667,0.125178098921229
Maldives,2017.2,2017,141.666666666667,202.333333333333,191.666666666667,0.123549765927132
Lesotho,2017.2,2017,142,203,202,0.123956849175656
Turkmenistan,2017.2,2017,143.666666666667,200,200,0.122124974557297
Puerto Rico,2017.2,2017,145,194,194,0.118461225320578
Angola,2017.2,2017,146.333333333333,190,194,0.116018725829432
Mauritius,2017.2,2017,146.666666666667,191,191,0.116629350702219
Yemen,2017.2,2017,148.333333333333,184.666666666667,184,0.112762059841238
Tahiti,2017.2,2017,148.666666666667,184,184,0.112354976592713
Lebanon,2017.2,2017,149.666666666667,184.666666666667,189.333333333333,0.112762059841238
Chad,2017.2,2017,150.666666666667,179,179,0.109301852228781
Sao Tome e Principe,2017.2,2017,152.333333333333,177,177,0.108080602483208
Afghanistan,2017.2,2017,152.666666666667,176,182.333333333333,0.107469977610421
Cuba,2017.2,2017,154,175,176.666666666667,0.106859352737635
Barbados,2017.2,2017,155,169,165.333333333333,0.103195603500916
Belize,2017.2,2017,156.333333333333,164.333333333333,152.666666666667,0.100346020761246
Tanzania,2017.2,2017,157,154.666666666667,153.666666666667,0.094443313657643
Chinese Taipei,2017.2,2017,157.666666666667,151.666666666667,153,0.0926114390392835
Grenada,2017.2,2017,158.333333333333,150.666666666667,150,0.092000814166497
Aruba,2017.2,2017,160.333333333333,147,147,0.0897618562996133
Malaysia,2017.2,2017,161.333333333333,145,144,0.0885406065540403
Moldova,2017.2,2017,163,140.666666666667,140.333333333333,0.0858945654386322
Myanmar,2017.2,2017,163.333333333333,139.333333333333,148.666666666667,0.0850803989415836
Singapore,2017.2,2017,164,137.333333333333,136.333333333333,0.0838591491960106
N. Macedonia,2017.2,2017,164.333333333333,135.666666666667,139.666666666667,0.0828414410746998
Kosovo,2017.2,2017,165,135,135,0.0824343578261754
Kuwait,2017.2,2017,166.666666666667,130,125.666666666667,0.079381233462243
New Caledonia,2017.2,2017,168,123,123,0.0751068593527376
South Sudan,2017.2,2017,168,123,123,0.0751068593527376
Laos,2017.2,2017,169,128,134,0.0781599837166701
Indonesia,2017.2,2017,169.666666666667,122,121,0.0744962344799512
Papua NG,2017.2,2017,171,122,122,0.0744962344799512
Nepal,2017.2,2017,172.666666666667,118,109.333333333333,0.0720537349888052
Cambodia,2017.2,2017,173.333333333333,117.666666666667,118.333333333333,0.0718501933645431
Dominica,2017.2,2017,175,113.666666666667,113.333333333333,0.0694076938733971
Bhutan,2017.2,2017,176.666666666667,110,107.666666666667,0.0671687360065133
St. Vincent,2017.2,2017,176.666666666667,110.333333333333,107,0.0673722776307755
Gambia,2017.2,2017,178,106,106,0.0647262365153674
Vanuatu,2017.2,2017,178,106,106,0.0647262365153674
St. Lucia,2017.2,2017,179,104.666666666667,103,0.0639120700183188
Fiji,2017.2,2017,180.666666666667,102,102,0.0622837370242215
