date,team,rating,as_of
2017-06-01,Jordan,1508,2022-11-23
2017-03-28,Jordan,1516,2022-11-23
2017-03-23,Jordan,1515,2022-11-23
2017-01-25,Jordan,1512,2022-11-23
2022-11-19,Kazakhstan,1391,2022-11-23
2022-11-16,Kazakhstan,1396,2022-11-23
2022-09-25,Kazakhstan,1401,2022-11-23
2022-09-22,Kazakhstan,1434,2022-11-23
2022-06-13,Kazakhstan,1420,2022-11-23
2022-06-10,Kazakhstan,1391,2022-11-23
2022-06-06,Kazakhstan,1387,2022-11-23
2022-06-03,Kazakhstan,1350,2022-11-23
2022-03-29,Kazakhstan,1331,2022-11-23
2022-03-24,Kazakhstan,1365,2022-11-23
2021-11-16,Kazakhstan,1349,2022-11-23
2021-11-13,Kazakhstan,1344,2022-11-23
2021-10-12,Kazakhstan,1345,2022-11-23
2021-10-09,Kazakhstan,1358,2022-11-23
2021-09-07,Kazakhstan,1375,2022-11-23
2021-09-04,Kazakhstan,1359,2022-11-23
2021-09-01,Kazakhstan,1362,2022-11-23
2021-06-04,Kazakhstan,1347,2022-11-23
2021-03-31,Kazakhstan,1352,2022-11-23
2021-03-28,Kazakhstan,1333,2022-11-23
2020-11-18,Kazakhstan,1334,2022-11-23
2020-11-15,Kazakhstan,1360,2022-11-23
2020-11-11,Kazakhstan,1371,2022-11-23
2020-10-14,Kazakhstan,1364,2022-11-23
2020-10-11,Kazakhstan,1378,2022-11-23
2020-09-07,Kazakhstan,1375,2022-11-23
2020-09-04,Kazakhstan,1396,2022-11-23
2018-11-19,Kazakhstan,1330,2022-11-23
2018-11-15,Kazakhstan,1336,2022-11-23
2018-10-16,Kazakhstan,1344,2022-11-23
2018-10-13,Kazakhstan,1336,2022-11-23
2018-09-10,Kazakhstan,1331,2022-11-23
2018-09-06,Kazakhstan,1341,2022-11-23
2018-06-05,Kazakhstan,1369,2022-11-23
2018-03-26,Kazakhstan,1354,2022-11-23
2018-03-23,Kazakhstan,1358,2022-11-23
2017-10-08,Kazakhstan,1340,2022-11-23
2017-10-05,Kazakhstan,1339,2022-11-23
2017-09-04,Kazakhstan,1344,2022-11-23
2017-09-01,Kazakhstan,1346,2022-11-23
2017-06-10,Kazakhstan,1369,2022-11-23
2017-03-26,Kazakhstan,1381,2022-11-23
2017-03-22,Kazakhstan,1395,2022-11-23
2021-11-15,Kenya,1375,2022-11-23
2021-11-11,Kenya,1365,2022-11-23
2021-10-10,Kenya,1354,2022-11-23
2021-10-07,Kenya,1368,2022-11-23
2021-09-05,Kenya,1390,2022-11-23
2021-09-02,Kenya,1388,2022-11-23
2021-03-29,Kenya,1391,2022-11-23
2021-03-25,Kenya,1369,2022-11-23
2021-03-15,Kenya,1361,2022-11-23
2021-03-13,Kenya,1355,2022-11-23
2020-11-15,Kenya,1353,2022-11-23
2020-11-11,Kenya,1376,2022-11-23
2020-10-09,Kenya,1389,2022-11-23
2018-10-14,Kenya,1388,2022-11-23
2018-10-10,Kenya,1369,2022-11-23
2018-09-11,Kenya,1367,2022-11-23
2018-09-08,Kenya,1362,2022-11-23
2018-06-10,Kenya,1331,2022-11-23
2018-06-08,Kenya,1358,2022-11-23
2018-06-04,Kenya,1352,2022-11-23
2018-06-02,Kenya,1388,2022-11-23
2018-05-28,Kenya,1367,2022-11-23
2018-05-25,Kenya,1361,2022-11-23
2018-03-27,Kenya,1376,2022-11-23
2018-03-24,Kenya,1389,2022-11-23
2017-12-17,Kenya,1397,2022-11-23
2017-12-14,Kenya,1405,2022-11-23
2017-12-11,Kenya,1393,2022-11-23
2017-12-09,Kenya,1382,2022-11-23
2017-12-05,Kenya,1390,2022-11-23
2017-12-03,Kenya,1391,2022-11-23
2017-10-08,Kenya,1375,2022-11-23
2017-10-05,Kenya,1382,2022-11-23
2017-09-02,Kenya,1385,2022-11-23
2017-06-10,Kenya,1384,2022-11-23
2017-03-26,Kenya,1400,2022-11-23
2017-03-23,Kenya,1387,2022-11-23
2022-11-11,Korea Republic,1786,2022-11-23
2022-09-27,Korea Republic,1783,2022-11-23
2022-09-23,Korea Republic,1779,2022-11-23
2022-07-27,Korea Republic,1783,2022-11-23
2022-07-24,Korea Republic,1814,2022-11-23
2022-07-20,Korea Republic,1813,2022-11-23
2022-06-14,Korea Republic,1805,2022-11-23
2022-06-10,Korea Republic,1798,2022-11-23
2022-06-06,Korea Republic,1803,2022-11-23
2022-06-02,Korea Republic,1793,2022-11-23
2022-03-29,Korea Republic,1800,2022-11-23
2022-03-24,Korea Republic,1832,2022-11-23
2022-02-01,Korea Republic,1807,2022-11-23
2022-01-27,Korea Republic,1801,2022-11-23
2022-01-21,Korea Republic,1795,2022-11-23
2022-01-15,Korea Republic,1794,2022-11-23
2021-11-16,Korea Republic,1787,2022-11-23
2021-11-11,Korea Republic,1769,2022-11-23
2021-10-12,Korea Republic,1765,2022-11-23
2021-10-07,Korea Republic,1756,2022-11-23
2021-09-07,Korea Republic,1753,2022-11-23
2021-09-02,Korea Republic,1751,2022-11-23
2021-06-13,Korea Republic,1763,2022-11-23
2021-06-09,Korea Republic,1761,2022-11-23
2021-06-05,Korea Republic,1761,2022-11-23
2021-03-25,Korea Republic,1758,2022-11-23
2020-11-17,Korea Republic,1772,2022-11-23
2020-11-14,Korea Republic,1765,2022-11-23
2018-12-31,Korea Republic,1778,2022-11-23
2018-11-20,Korea Republic,1783,2022-11-23
2018-11-17,Korea Republic,1773,2022-11-23
2018-10-16,Korea Republic,1772,2022-11-23
2018-10-12,Korea Republic,1779,2022-11-23
2018-09-11,Korea Republic,1766,2022-11-23
2018-09-07,Korea Republic,1766,2022-11-23
2018-06-27,Korea Republic,1756,2022-11-23
2018-06-23,Korea Republic,1676,2022-11-23
2018-06-18,Korea Republic,1690,2022-11-23
2018-06-11,Korea Republic,1713,2022-11-23
2018-06-07,Korea Republic,1728,2022-11-23
2018-06-01,Korea Republic,1730,2022-11-23
2018-05-28,Korea Republic,1750,2022-11-23
2018-03-27,Korea Republic,1744,2022-11-23
2018-03-24,Korea Republic,1749,2022-11-23
2018-02-03,Korea Republic,1759,2022-11-23
2018-01-30,Korea Republic,1757,2022-11-23
2018-01-27,Korea Republic,1762,2022-11-23
2017-12-16,Korea Republic,1760,2022-11-23
2017-12-12,Korea Republic,1711,2022-11-23
2017-12-09,Korea Republic,1703,2022-11-23
2017-11-14,Korea Republic,1711,2022-11-23
2017-11-10,Korea Republic,1712,2022-11-23
2017-10-10,Korea Republic,1698,2022-11-23
2017-10-07,Korea Republic,1716,2022-11-23
2017-09-05,Korea Republic,1729,2022-11-23
2017-08-31,Korea Republic,1730,2022-11-23
2017-06-13,Korea Republic,1732,2022-11-23
2017-06-07,Korea Republic,1759,2022-11-23
2017-03-28,Korea Republic,1765,2022-11-23
2017-03-23,Korea Republic,1759,2022-11-23
2022-11-19,Kosovo,1507,2022-11-23
2022-11-16,Kosovo,1514,2022-11-23
2022-09-27,Kosovo,1518,2022-11-23
2022-09-24,Kosovo,1503,2022-11-23
2022-06-12,Kosovo,1516,2022-11-23
2022-06-09,Kosovo,1526,2022-11-23
2022-06-05,Kosovo,1508,2022-11-23
2022-06-02,Kosovo,1524,2022-11-23
2022-03-29,Kosovo,1500,2022-11-23
2022-03-24,Kosovo,1491,2022-11-23
2021-11-14,Kosovo,1471,2022-11-23
2021-11-10,Kosovo,1456,2022-11-23
2021-10-12,Kosovo,1474,2022-11-23
2021-10-09,Kosovo,1502,2022-11-23
2021-09-08,Kosovo,1507,2022-11-23
2021-09-05,Kosovo,1513,2022-11-23
2021-09-02,Kosovo,1510,2022-11-23
2021-06-11,Kosovo,1482,2022-11-23
2021-06-08,Kosovo,1475,2022-11-23
2021-06-04,Kosovo,1487,2022-11-23
2021-06-01,Kosovo,1483,2022-11-23
2021-03-31,Kosovo,1483,2022-11-23
2021-03-28,Kosovo,1484,2022-11-23
2021-03-24,Kosovo,1499,2022-11-23
2020-11-18,Kosovo,1491,2022-11-23
2020-11-15,Kosovo,1486,2022-11-23
2020-11-11,Kosovo,1495,2022-11-23
2020-10-14,Kosovo,1502,2022-11-23
2020-10-11,Kosovo,1490,2022-11-23
2020-10-08,Kosovo,1512,2022-11-23
2020-09-06,Kosovo,1524,2022-11-23
2020-09-03,Kosovo,1546,2022-11-23
2020-01-12,Kosovo,1561,2022-11-23
2018-11-20,Kosovo,1495,2022-11-23
2018-11-17,Kosovo,1473,2022-11-23
2018-10-14,Kosovo,1449,2022-11-23
2018-10-11,Kosovo,1454,2022-11-23
2018-09-10,Kosovo,1447,2022-11-23
2018-09-07,Kosovo,1434,2022-11-23
2018-05-29,Kosovo,1430,2022-11-23
2018-03-27,Kosovo,1404,2022-11-23
2018-03-24,Kosovo,1380,2022-11-23
2017-11-13,Kosovo,1370,2022-11-23
2017-10-09,Kosovo,1363,2022-11-23
2017-10-06,Kosovo,1365,2022-11-23
2017-09-05,Kosovo,1371,2022-11-23
2017-09-03,Kosovo,1382,2022-11-23
2017-06-11,Kosovo,1383,2022-11-23
2017-03-24,Kosovo,1389,2022-11-23
2022-11-19,Kuwait,1315,2022-11-23
2022-06-14,Kuwait,1298,2022-11-23
2022-06-11,Kuwait,1321,2022-11-23
2022-06-08,Kuwait,1317,2022-11-23
2022-06-01,Kuwait,1349,2022-11-23
2022-03-29,Kuwait,1342,2022-11-23
2022-03-25,Kuwait,1358,2022-11-23
2022-02-01,Kuwait,1359,2022-11-23
2022-01-29,Kuwait,1380,2022-11-23
2021-11-15,Kuwait,1371,2022-11-23
2021-11-11,Kuwait,1369,2022-11-23
2021-09-04,Kuwait,1371,2022-11-23
2021-06-25,Kuwait,1373,2022-11-23
2021-06-15,Kuwait,1390,2022-11-23
2021-06-11,Kuwait,1389,2022-11-23
2021-06-03,Kuwait,1390,2022-11-23
2021-05-23,Kuwait,1406,2022-11-23
2021-03-29,Kuwait,1397,2022-11-23
2021-03-25,Kuwait,1397,2022-11-23
2021-01-27,Kuwait,1401,2022-11-23
2021-01-18,Kuwait,1404,2022-11-23
2018-12-28,Kuwait,1434,2022-11-23
2018-11-20,Kuwait,1411,2022-11-23
2018-10-15,Kuwait,1419,2022-11-23
2018-10-11,Kuwait,1429,2022-11-23
2018-09-10,Kuwait,1421,2022-11-23
2018-05-25,Kuwait,1420,2022-11-23
2018-05-11,Kuwait,1416,2022-11-23
2018-03-25,Kuwait,1405,2022-11-23
2018-03-21,Kuwait,1415,2022-11-23
2017-12-28,Kuwait,1421,2022-11-23
2017-12-25,Kuwait,1418,2022-11-23
2017-12-22,Kuwait,1443,2022-11-23
2017-12-18,Kuwait,1461,2022-11-23
2022-09-24,Kyrgyzstan,1264,2022-11-23
2022-06-14,Kyrgyzstan,1266,2022-11-23
2022-06-11,Kyrgyzstan,1270,2022-11-23
2022-06-08,Kyrgyzstan,1265,2022-11-23
2022-03-29,Kyrgyzstan,1257,2022-11-23
2022-03-25,Kyrgyzstan,1272,2022-11-23
2021-11-16,Kyrgyzstan,1277,2022-11-23
2021-11-11,Kyrgyzstan,1280,2022-11-23
2021-09-07,Kyrgyzstan,1274,2022-11-23
2021-09-02,Kyrgyzstan,1272,2022-11-23
2021-06-15,Kyrgyzstan,1253,2022-11-23
2021-06-11,Kyrgyzstan,1255,2022-11-23
2021-06-07,Kyrgyzstan,1232,2022-11-23
2018-12-31,Kyrgyzstan,1288,2022-11-23
2018-12-25,Kyrgyzstan,1275,2022-11-23
2018-12-20,Kyrgyzstan,1277,2022-11-23
2018-11-20,Kyrgyzstan,1262,2022-11-23
2018-10-16,Kyrgyzstan,1263,2022-11-23
2018-09-10,Kyrgyzstan,1255,2022-11-23
2018-09-06,Kyrgyzstan,1238,2022-11-23
2018-05-29,Kyrgyzstan,1237,2022-11-23
2018-03-27,Kyrgyzstan,1244,2022-11-23
2018-03-22,Kyrgyzstan,1233,2022-11-23
2017-11-14,Kyrgyzstan,1207,2022-11-23
2017-10-10,Kyrgyzstan,1204,2022-11-23
2017-08-25,Kyrgyzstan,1206,2022-11-23
2017-06-13,Kyrgyzstan,1208,2022-11-23
2017-03-28,Kyrgyzstan,1228,2022-11-23
2022-09-27,Laos,653,2022-11-23
2022-09-24,Laos,667,2022-11-23
2022-03-27,Laos,676,2022-11-23
2022-03-23,Laos,670,2022-11-23
2021-12-15,Laos,660,2022-11-23
2021-12-12,Laos,680,2022-11-23
2021-12-09,Laos,685,2022-11-23
2021-12-06,Laos,689,2022-11-23
2018-11-20,Laos,693,2022-11-23
2018-11-16,Laos,709,2022-11-23
2018-11-12,Laos,721,2022-11-23
2018-11-08,Laos,725,2022-11-23
2018-10-16,Laos,730,2022-11-23
2018-10-03,Laos,755,2022-11-23
2018-10-01,Laos,758,2022-11-23
2018-09-11,Laos,768,2022-11-23
2018-03-27,Laos,769,2022-11-23
2018-03-21,Laos,771,2022-11-23
2017-12-05,Laos,783,2022-11-23
2017-12-03,Laos,791,2022-11-23
2017-12-01,Laos,783,2022-11-23
2017-10-05,Laos,786,2022-11-23
2017-10-02,Laos,788,2022-11-23
2017-06-07,Laos,805,2022-11-23
2022-11-19,Latvia,1352,2022-11-23
2022-11-16,Latvia,1348,2022-11-23
2022-09-25,Latvia,1349,2022-11-23
2022-09-22,Latvia,1357,2022-11-23
2022-06-14,Latvia,1390,2022-11-23
2022-06-10,Latvia,1378,2022-11-23
2022-06-06,Latvia,1350,2022-11-23
2022-06-03,Latvia,1346,2022-11-23
2022-03-29,Latvia,1338,2022-11-23
2022-03-25,Latvia,1328,2022-11-23
2021-11-16,Latvia,1327,2022-11-23
2021-11-13,Latvia,1309,2022-11-23
2021-10-11,Latvia,1290,2022-11-23
2021-10-08,Latvia,1296,2022-11-23
2021-09-07,Latvia,1298,2022-11-23
2021-09-04,Latvia,1283,2022-11-23
2021-09-01,Latvia,1290,2022-11-23
2021-06-10,Latvia,1281,2022-11-23
2021-06-07,Latvia,1288,2022-11-23
2021-06-04,Latvia,1289,2022-11-23
2021-03-30,Latvia,1268,2022-11-23
2021-03-27,Latvia,1249,2022-11-23
2021-03-24,Latvia,1250,2022-11-23
2020-11-17,Latvia,1261,2022-11-23
2020-11-14,Latvia,1228,2022-11-23
2020-11-11,Latvia,1232,2022-11-23
2020-10-13,Latvia,1227,2022-11-23
2020-10-10,Latvia,1257,2022-11-23
2020-10-07,Latvia,1251,2022-11-23
2020-09-06,Latvia,1243,2022-11-23
2020-09-03,Latvia,1242,2022-11-23
2018-11-19,Latvia,1298,2022-11-23
2018-11-15,Latvia,1305,2022-11-23
2018-10-16,Latvia,1297,2022-11-23
2018-10-13,Latvia,1321,2022-11-23
2018-09-09,Latvia,1326,2022-11-23
2018-09-06,Latvia,1332,2022-11-23
2018-06-09,Latvia,1348,2022-11-23
2018-06-05,Latvia,1367,2022-11-23
2018-06-02,Latvia,1361,2022-11-23
2018-03-25,Latvia,1343,2022-11-23
2018-03-22,Latvia,1358,2022-11-23
2018-02-03,Latvia,1360,2022-11-23
2017-11-13,Latvia,1362,2022-11-23
2017-11-07,Latvia,1369,2022-11-23
2017-10-10,Latvia,1375,2022-11-23
2017-10-07,Latvia,1370,2022-11-23
2017-09-03,Latvia,1369,2022-11-23
2017-08-31,Latvia,1376,2022-11-23
2017-06-12,Latvia,1384,2022-11-23
2017-06-09,Latvia,1395,2022-11-23
2017-03-28,Latvia,1401,2022-11-23
2017-03-25,Latvia,1413,2022-11-23
2022-11-19,Lebanon,1320,2022-11-23
2022-03-29,Lebanon,1337,2022-11-23
2022-03-24,Lebanon,1339,2022-11-23
2022-02-01,Lebanon,1382,2022-11-23
2022-01-27,Lebanon,1378,2022-11-23
2021-12-07,Lebanon,1384,2022-11-23
2021-12-04,Lebanon,1365,2022-11-23
2021-12-01,Lebanon,1371,2022-11-23
2021-11-16,Lebanon,1379,2022-11-23
2021-11-11,Lebanon,1401,2022-11-23
2021-10-12,Lebanon,1406,2022-11-23
2021-10-07,Lebanon,1383,2022-11-23
2021-09-07,Lebanon,1371,2022-11-23
2021-09-02,Lebanon,1373,2022-11-23
2021-06-23,Lebanon,1361,2022-11-23
2021-06-13,Lebanon,1358,2022-11-23
2021-06-09,Lebanon,1360,2022-11-23
2021-06-05,Lebanon,1387,2022-11-23
2021-03-29,Lebanon,1386,2022-11-23
2021-03-24,Lebanon,1386,2022-11-23
2020-11-12,Lebanon,1394,2022-11-23
2018-12-27,Lebanon,1451,2022-11-23
2018-11-20,Lebanon,1460,2022-11-23
2018-11-15,Lebanon,1464,2022-11-23
2018-10-11,Lebanon,1460,2022-11-23
2018-09-09,Lebanon,1468,2022-11-23
2018-09-06,Lebanon,1466,2022-11-23
2018-03-27,Lebanon,1453,2022-11-23
2017-11-14,Lebanon,1451,2022-11-23
2017-11-09,Lebanon,1439,2022-11-23
2017-10-10,Lebanon,1435,2022-11-23
2017-09-05,Lebanon,1398,2022-11-23
2017-06-13,Lebanon,1388,2022-11-23
2017-03-28,Lebanon,1377,2022-11-23
2022-07-10,Lesotho,1223,2022-11-23
2022-07-08,Lesotho,1250,2022-11-23
2022-07-06,Lesotho,1244,2022-11-23
2022-06-09,Lesotho,1219,2022-11-23
2022-06-03,Lesotho,1201,2022-11-23
2022-05-30,Lesotho,1218,2022-11-23
2022-05-28,Lesotho,1213,2022-11-23
2022-05-26,Lesotho,1207,2022-11-23
2022-03-27,Lesotho,1193,2022-11-23
2022-03-23,Lesotho,1182,2022-11-23
2022-03-08,Lesotho,1208,2022-11-23
2022-03-08,Lesotho,1196,2022-11-23
2021-07-13,Lesotho,1204,2022-11-23
2021-07-10,Lesotho,1211,2022-11-23
2021-07-08,Lesotho,1244,2022-11-23
2021-07-06,Lesotho,1211,2022-11-23
2021-07-03,Lesotho,1249,2022-11-23
2021-06-05,Lesotho,1246,2022-11-23
2021-06-02,Lesotho,1267,2022-11-23
2021-03-30,Lesotho,1291,2022-11-23
2021-03-27,Lesotho,1295,2022-11-23
2020-11-17,Lesotho,1298,2022-11-23
2020-11-14,Lesotho,1293,2022-11-23
2018-11-18,Lesotho,1300,2022-11-23
2018-10-16,Lesotho,1282,2022-11-23
2018-10-13,Lesotho,1311,2022-11-23
2018-09-09,Lesotho,1329,2022-11-23
2018-08-27,Lesotho,1329,2022-11-23
2018-08-26,Lesotho,1320,2022-11-23
2018-06-08,Lesotho,1314,2022-11-23
2018-06-06,Lesotho,1290,2022-11-23
2018-06-02,Lesotho,1281,2022-11-23
2018-03-27,Lesotho,1258,2022-11-23
2018-03-24,Lesotho,1262,2022-11-23
2017-11-11,Lesotho,1270,2022-11-23
2017-11-08,Lesotho,1266,2022-11-23
2017-07-07,Lesotho,1252,2022-11-23
2017-07-05,Lesotho,1246,2022-11-23
2017-07-01,Lesotho,1255,2022-11-23
2017-06-10,Lesotho,1249,2022-11-23
2017-06-04,Lesotho,1239,2022-11-23
2017-05-28,Lesotho,1226,2022-11-23
2017-05-26,Lesotho,1210,2022-11-23
2017-03-28,Lesotho,1214,2022-11-23
2022-09-27,Liberia,1311,2022-11-23
2022-09-25,Liberia,1315,2022-11-23
2022-06-13,Liberia,1318,2022-11-23
2022-03-29,Liberia,1321,2022-11-23
2022-03-27,Liberia,1333,2022-11-23
2022-03-24,Liberia,1343,2022-11-23
2021-11-16,Liberia,1357,2022-11-23
2021-11-13,Liberia,1330,2022-11-23
2021-10-10,Liberia,1338,2022-11-23
2021-10-07,Liberia,1348,2022-11-23
2021-09-30,Liberia,1365,2022-11-23
2021-09-06,Liberia,1369,2022-11-23
2021-09-03,Liberia,1352,2022-11-23
2021-06-17,Liberia,1357,2022-11-23
2021-06-14,Liberia,1359,2022-11-23
2021-06-11,Liberia,1349,2022-11-23
2021-04-28,Liberia,1359,2022-11-23
2018-11-18,Liberia,1344,2022-11-23
2018-10-16,Liberia,1320,2022-11-23
2018-10-11,Liberia,1299,2022-11-23
2018-09-11,Liberia,1315,2022-11-23
2018-09-09,Liberia,1318,2022-11-23
2018-07-22,Liberia,1308,2022-11-23
2017-06-11,Liberia,1309,2022-11-23
2017-06-05,Liberia,1327,2022-11-23
2022-11-17,Libya,1352,2022-11-23
2022-09-27,Libya,1344,2022-11-23
2022-09-21,Libya,1333,2022-11-23
2022-06-06,Libya,1334,2022-11-23
2022-06-01,Libya,1350,2022-11-23
2022-03-29,Libya,1337,2022-11-23
2022-03-26,Libya,1356,2022-11-23
2022-02-01,Libya,1345,2022-11-23
2022-01-29,Libya,1324,2022-11-23
2021-11-16,Libya,1333,2022-11-23
2021-11-12,Libya,1338,2022-11-23
2021-10-11,Libya,1349,2022-11-23
2021-10-08,Libya,1371,2022-11-23
2021-09-07,Libya,1376,2022-11-23
2021-09-01,Libya,1350,2022-11-23
2021-06-19,Libya,1330,2022-11-23
2021-06-14,Libya,1348,2022-11-23
2021-03-28,Libya,1358,2022-11-23
2021-03-25,Libya,1378,2022-11-23
2020-11-15,Libya,1402,2022-11-23
2020-11-11,Libya,1422,2022-11-23
2020-10-11,Libya,1450,2022-11-23
2018-11-17,Libya,1476,2022-11-23
2018-10-16,Libya,1467,2022-11-23
2018-10-13,Libya,1475,2022-11-23
2018-09-08,Libya,1485,2022-11-23
2017-12-25,Libya,1475,2022-11-23
2017-12-11,Libya,1472,2022-11-23
2017-12-07,Libya,1458,2022-11-23
2017-12-05,Libya,1469,2022-11-23
2017-12-03,Libya,1468,2022-11-23
2017-11-11,Libya,1475,2022-11-23
2017-10-07,Libya,1462,2022-11-23
2017-09-04,Libya,1476,2022-11-23
2017-08-31,Libya,1451,2022-11-23
2017-06-09,Libya,1462,2022-11-23
2017-06-05,Libya,1458,2022-11-23
2017-03-24,Libya,1461,2022-11-23
2017-01-08,Libya,1463,2022-11-23
2022-11-16,Liechtenstein,978,2022-11-23
2022-09-25,Liechtenstein,986,2022-11-23
2022-09-22,Liechtenstein,993,2022-11-23
2022-06-14,Liechtenstein,1027,2022-11-23
2022-06-10,Liechtenstein,1039,2022-11-23
2022-06-06,Liechtenstein,1052,2022-11-23
2022-06-03,Liechtenstein,1056,2022-11-23
2022-03-29,Liechtenstein,1084,2022-11-23
2022-03-25,Liechtenstein,1090,2022-11-23
2021-11-14,Liechtenstein,1094,2022-11-23
2021-11-11,Liechtenstein,1098,2022-11-23
2021-10-11,Liechtenstein,1098,2022-11-23
2021-10-08,Liechtenstein,1101,2022-11-23
2021-09-08,Liechtenstein,1110,2022-11-23
2021-09-05,Liechtenstein,1091,2022-11-23
2021-09-02,Liechtenstein,1092,2022-11-23
2021-06-07,Liechtenstein,1093,2022-11-23
2021-06-03,Liechtenstein,1100,2022-11-23
2021-03-31,Liechtenstein,1100,2022-11-23
2021-03-28,Liechtenstein,1107,2022-11-23
2021-03-25,Liechtenstein,1110,2022-11-23
2020-11-17,Liechtenstein,1116,2022-11-23
2020-11-11,Liechtenstein,1111,2022-11-23
2020-10-13,Liechtenstein,1120,2022-11-23
2020-10-10,Liechtenstein,1137,2022-11-23
2020-10-07,Liechtenstein,1167,2022-11-23
2020-09-08,Liechtenstein,1150,2022-11-23
2018-11-19,Liechtenstein,1138,2022-11-23
2018-11-16,Liechtenstein,1126,2022-11-23
2018-10-16,Liechtenstein,1137,2022-11-23
2018-10-13,Liechtenstein,1154,2022-11-23
2018-09-09,Liechtenstein,1158,2022-11-23
2018-09-06,Liechtenstein,1140,2022-11-23
2018-03-25,Liechtenstein,1143,2022-11-23
2018-03-21,Liechtenstein,1154,2022-11-23
2017-12-14,Liechtenstein,1168,2022-11-23
2017-10-09,Liechtenstein,1150,2022-11-23
2017-10-06,Liechtenstein,1155,2022-11-23
2017-09-05,Liechtenstein,1162,2022-11-23
2017-09-02,Liechtenstein,1163,2022-11-23
2017-06-11,Liechtenstein,1166,2022-11-23
2017-06-07,Liechtenstein,1166,2022-11-23
2017-03-24,Liechtenstein,1157,2022-11-23
2022-11-19,Lithuania,1248,2022-11-23
2022-11-16,Lithuania,1256,2022-11-23
2022-09-25,Lithuania,1248,2022-11-23
2022-09-22,Lithuania,1255,2022-11-23
2022-06-14,Lithuania,1261,2022-11-23
2022-06-11,Lithuania,1263,2022-11-23
2022-06-07,Lithuania,1280,2022-11-23
2022-06-04,Lithuania,1291,2022-11-23
2022-03-29,Lithuania,1324,2022-11-23
2022-03-25,Lithuania,1325,2022-11-23
2021-11-15,Lithuania,1323,2022-11-23
2021-11-12,Lithuania,1325,2022-11-23
2021-10-12,Lithuania,1330,2022-11-23
2021-10-09,Lithuania,1334,2022-11-23
2021-09-08,Lithuania,1292,2022-11-23
2021-09-05,Lithuania,1293,2022-11-23
2021-09-02,Lithuania,1298,2022-11-23
2021-06-08,Lithuania,1319,2022-11-23
2021-06-04,Lithuania,1319,2022-11-23
2021-06-01,Lithuania,1340,2022-11-23
2021-03-31,Lithuania,1359,2022-11-23
2021-03-28,Lithuania,1361,2022-11-23
2021-03-24,Lithuania,1362,2022-11-23
2020-11-18,Lithuania,1370,2022-11-23
2020-11-15,Lithuania,1344,2022-11-23
2020-11-11,Lithuania,1356,2022-11-23
2020-10-14,Lithuania,1351,2022-11-23
2020-10-11,Lithuania,1346,2022-11-23
2020-10-07,Lithuania,1343,2022-11-23
2020-09-07,Lithuania,1321,2022-11-23
2020-09-04,Lithuania,1285,2022-11-23
2018-11-20,Lithuania,1338,2022-11-23
2018-11-17,Lithuania,1341,2022-11-23
2018-10-14,Lithuania,1345,2022-11-23
2018-10-11,Lithuania,1368,2022-11-23
2018-09-10,Lithuania,1376,2022-11-23
2018-09-07,Lithuania,1384,2022-11-23
2018-06-12,Lithuania,1391,2022-11-23
2018-06-08,Lithuania,1393,2022-11-23
2018-06-05,Lithuania,1395,2022-11-23
2018-05-30,Lithuania,1401,2022-11-23
2018-03-27,Lithuania,1412,2022-11-23
2018-03-24,Lithuania,1397,2022-11-23
2017-10-08,Lithuania,1407,2022-11-23
2017-10-05,Lithuania,1410,2022-11-23
2017-09-04,Lithuania,1415,2022-11-23
2017-09-01,Lithuania,1426,2022-11-23
2017-06-10,Lithuania,1448,2022-11-23
2017-03-26,Lithuania,1458,2022-11-23
2017-03-22,Lithuania,1460,2022-11-23
2022-11-20,Luxembourg,1443,2022-11-23
2022-11-17,Luxembourg,1444,2022-11-23
2022-09-25,Luxembourg,1437,2022-11-23
2022-09-22,Luxembourg,1430,2022-11-23
2022-06-14,Luxembourg,1413,2022-11-23
2022-06-11,Luxembourg,1426,2022-11-23
2022-06-07,Luxembourg,1441,2022-11-23
2022-06-04,Luxembourg,1426,2022-11-23
2022-03-29,Luxembourg,1393,2022-11-23
2022-03-25,Luxembourg,1396,2022-11-23
2021-11-14,Luxembourg,1407,2022-11-23
2021-11-11,Luxembourg,1429,2022-11-23
2021-10-12,Luxembourg,1394,2022-11-23
2021-10-09,Luxembourg,1395,2022-11-23
2021-09-07,Luxembourg,1401,2022-11-23
2021-09-04,Luxembourg,1396,2022-11-23
2021-09-01,Luxembourg,1400,2022-11-23
2021-06-06,Luxembourg,1386,2022-11-23
2021-06-02,Luxembourg,1391,2022-11-23
2021-03-30,Luxembourg,1393,2022-11-23
2021-03-27,Luxembourg,1396,2022-11-23
2021-03-24,Luxembourg,1360,2022-11-23
2020-11-17,Luxembourg,1363,2022-11-23
2020-11-14,Luxembourg,1368,2022-11-23
2020-11-11,Luxembourg,1386,2022-11-23
2020-10-13,Luxembourg,1391,2022-11-23
2020-10-10,Luxembourg,1357,2022-11-23
2020-10-07,Luxembourg,1335,2022-11-23
2020-09-08,Luxembourg,1352,2022-11-23
2020-09-05,Luxembourg,1367,2022-11-23
2018-11-18,Luxembourg,1347,2022-11-23
2018-11-15,Luxembourg,1342,2022-11-23
2018-10-15,Luxembourg,1369,2022-11-23
2018-10-12,Luxembourg,1367,2022-11-23
2018-09-11,Luxembourg,1375,2022-11-23
2018-09-08,Luxembourg,1369,2022-11-23
