date,year,team,opponent,GF,GA,did_score,fail_to_score,did_receive_goal,not_receive_goal_team,GF_last_5,GA_last_5_team,pre_rating_team,pre_rating_opponent,qatar,result,magic_johnson_team,rating,GA_last_5_opponent,not_receive_goal_opponent,magic_johnson_opponent
2018-03-27,2018,Algeria,IR Iran,1,2,3,2,4,1,8,5,1550,1758,FALSE,L,0.231947996832416,1536,3,2,0.768052003167584
2018-03-22,2018,Algeria,Tanzania,4,1,3,2,4,1,5,7,,,FALSE,W,,,6,1,
2022-11-19,2022,Andorra,Gibraltar,0,1,4,1,4,1,6,5,1116,1076,FALSE,L,0.557311633762293,1083,12,1,0.442688366237707
2022-11-16,2022,Andorra,Austria,0,1,4,1,3,2,6,4,1128,1737,FALSE,L,0.0291508846672584,1126,10,0,0.970849115332742
2022-09-25,2022,Andorra,Latvia,1,1,3,2,3,2,5,6,1102,1346,FALSE,D,0.197090829846184,1120,4,3,0.802909170153816
2022-09-22,2022,Andorra,Liechtenstein,2,0,3,2,3,2,4,6,1065,1032,FALSE,W,0.547348518045865,1092,8,0,0.452651481954135
2022-06-14,2022,Andorra,Moldova,1,2,3,2,2,3,4,4,1100,1208,FALSE,L,0.349395372066128,1079,6,3,0.650604627933873
2022-06-10,2022,Andorra,Liechtenstein,2,1,2,3,2,3,2,4,1081,1046,FALSE,W,0.550199353253537,1108,12,0,0.449800646746463
2022-06-06,2022,Andorra,Moldova,0,0,3,2,3,2,3,8,1065,1224,FALSE,D,0.28592109741465,1078,9,2,0.71407890258535
2022-06-03,2022,Andorra,Latvia,0,3,4,1,2,3,6,5,1103,1357,FALSE,L,0.188140001666213,1092,4,2,0.811859998333787
2022-03-28,2022,Andorra,Grenada,1,0,3,2,3,2,5,10,1098,1128,FALSE,W,0.456933507977788,1131,13,1,0.543066492022212
2022-03-25,2022,Andorra,Saint Kitts and Nevis,1,0,3,2,4,1,5,12,1054,1195,FALSE,W,0.307536607420482,1096,8,2,0.692463392579518
2021-11-15,2021,Andorra,Albania,0,1,3,2,4,1,5,15,1058,1584,FALSE,L,0.0461812674008591,1055,6,3,0.953818732599141
2021-11-12,2021,Andorra,Poland,1,4,3,2,3,2,6,11,1049,1799,FALSE,L,0.0131597265477055,1048,3,2,0.986840273452295
2021-10-12,2021,Andorra,San Marino,3,0,2,3,3,2,3,11,1036,817,FALSE,W,0.77914062081947,1049,23,0,0.22085937918053
2021-10-09,2021,Andorra,England,0,5,3,2,3,2,4,10,1035,2036,FALSE,L,0.00313427187325382,1035,3,2,0.996865728126746
2021-09-08,2021,Andorra,Hungary,1,2,3,2,3,2,4,12,1036,1690,FALSE,L,0.0226490779783474,1035,11,0,0.977350922021653
2021-09-05,2021,Andorra,England,0,4,3,2,3,2,4,11,1041,2046,FALSE,L,0.00306314567446448,1041,2,3,0.996936854325535
2021-09-02,2021,Andorra,San Marino,2,0,2,3,4,1,2,12,1033,827,FALSE,W,0.765994670766489,1047,21,0,0.234005329233511
2021-06-07,2021,Andorra,Gibraltar,0,0,2,3,5,0,2,17,1028,1085,FALSE,D,0.418698521631085,1033,21,0,0.581301478368915
2021-06-03,2021,Andorra,Ireland,1,4,2,3,5,0,2,16,1031,1616,FALSE,L,0.0333257661772106,1029,6,1,0.966674233822789
2021-03-31,2021,Andorra,Hungary,1,4,1,4,5,0,1,19,1031,1743,FALSE,L,0.016324942466554,1030,5,2,0.983675057533446
2021-03-28,2021,Andorra,Poland,0,3,1,4,5,0,1,18,1032,1807,FALSE,L,0.0114159900504184,1031,7,2,0.988584009949582
2021-03-25,2021,Andorra,Albania,0,1,1,4,4,1,1,17,1051,1570,FALSE,L,0.0479890280150698,1048,4,2,0.95201097198493
2020-11-17,2020,Andorra,Latvia,0,5,2,3,4,1,2,14,1061,1234,FALSE,L,0.269754586702576,1045,4,1,0.730245413297424
2020-11-14,2020,Andorra,Malta,1,3,1,4,4,1,1,12,1081,1220,FALSE,L,0.309993792719686,1062,1,4,0.690006207280314
2020-11-11,2020,Andorra,Portugal,0,7,1,4,3,2,1,5,1075,2051,FALSE,L,0.00361764567017327,1075,1,4,0.996382354329827
2020-10-13,2020,Andorra,Faroe Islands,0,2,1,4,2,3,1,3,1100,1255,FALSE,L,0.290645369401237,1083,8,1,0.709354630598763
2020-10-10,2020,Andorra,Malta,0,0,2,3,3,2,2,4,1090,1180,FALSE,D,0.373300918333268,1098,10,1,0.626699081666732
2020-10-07,2020,Andorra,Cape Verde,1,2,1,4,3,2,1,6,1098,1392,FALSE,L,0.155460471769965,1089,4,2,0.844539528230035
2020-09-06,2020,Andorra,Faroe Islands,0,1,1,4,3,2,1,8,1098,1278,FALSE,L,0.261890967459581,1082,9,0,0.738109032540419
2020-09-03,2020,Andorra,Latvia,0,0,2,3,4,1,2,9,1091,1288,FALSE,D,0.243419405704947,1106,6,1,0.756580594295053
2018-11-19,2018,Andorra,Latvia,0,0,2,3,4,1,2,9,1085,1301,FALSE,D,0.223845424658169,1102,6,1,0.776154575341831
2018-11-15,2018,Andorra,Georgia,1,1,1,4,3,2,1,8,1056,1546,FALSE,D,0.0562175478474267,1083,1,4,0.943782452152573
